S. No.,CHK_ACCT,DURATION,HISTORY,NEW_CAR,USED_CAR,FURNITURE,PERSONAL,EDUCATION,PROPERTY,AMOUNT,SAV_ACCT,EMPLOYMENT,INSTALL_RATE,MALE_DIV,MALE_SINGLE,MALE_MAR_or_WID,CO-APPLICANT,GUARANTOR,PRESENT_RESIDENT,REAL_ESTATE,PROP_UNKN_NONE,AGE,OTHER_INSTALL,RENT,OWN_RES,NUM_CREDITS,JOB,NUM_DEPENDENTS,TELEPHONE,FOREIGN
1,3,12,2,0,0,1,0,0,0,1123,2,2,4,0,0,0,0,0,4,0,0,29,0,1,0,1,1,1,0,0
2,0,48,4,0,1,0,0,0,0,6331,0,4,4,0,1,0,0,0,4,0,1,46,0,0,0,2,2,1,1,0
3,2,24,2,0,0,0,1,0,0,1377,1,4,4,0,0,0,0,0,2,0,1,47,0,0,0,1,2,1,1,0
4,1,30,3,0,0,0,0,0,1,2503,1,4,4,0,1,0,0,0,2,0,0,41,1,0,1,2,2,1,0,0
5,1,27,2,0,0,0,0,0,1,2528,0,1,4,0,0,0,0,0,1,0,0,32,0,0,1,1,2,2,1,0
6,3,15,2,1,0,0,0,0,0,5324,2,4,1,0,0,0,0,0,4,0,1,35,0,0,0,1,2,1,0,0
7,1,48,2,1,0,0,0,0,0,6560,1,3,3,0,1,0,0,0,2,0,0,24,0,0,1,1,2,1,0,0
8,1,12,0,0,0,1,0,0,0,2969,0,1,4,0,0,0,0,0,3,0,0,25,0,1,0,2,2,1,0,0
9,1,9,2,0,0,0,1,0,0,1206,0,4,4,0,0,0,0,0,4,1,0,25,0,0,1,1,2,1,0,0
10,1,9,2,0,0,0,1,0,0,2118,0,2,2,0,1,0,0,0,2,1,0,37,0,0,1,1,1,2,0,0
11,3,18,4,0,0,0,1,0,0,629,2,4,4,0,1,0,0,0,3,0,0,32,1,0,1,2,3,1,1,0
12,0,6,1,0,0,0,0,1,0,1198,0,4,4,0,0,0,0,0,4,0,1,35,0,0,0,1,2,1,0,0
13,3,21,2,0,1,0,0,0,0,2476,4,4,4,0,1,0,0,0,4,1,0,46,0,0,1,1,3,1,1,0
14,0,9,4,0,0,0,1,0,0,1138,0,2,4,0,1,0,0,0,4,1,0,25,0,0,1,2,1,1,0,0
15,1,60,2,1,0,0,0,0,0,14027,0,3,4,0,1,0,0,0,2,0,1,27,0,0,1,1,3,1,1,0
16,3,30,4,0,1,0,0,0,0,7596,4,4,1,0,1,0,0,0,4,0,0,63,0,0,1,2,2,1,0,0
17,3,30,4,0,0,0,1,0,0,3077,4,4,3,0,1,0,0,0,2,0,0,40,0,0,1,2,2,2,1,0
18,3,18,2,0,0,0,1,0,0,1505,0,2,4,0,1,0,0,0,2,0,1,32,0,0,0,1,3,1,1,0
19,2,24,4,0,0,0,1,0,0,3148,4,2,3,0,1,0,0,0,2,0,0,31,0,0,1,2,2,1,1,0
20,1,20,0,0,1,0,0,0,0,6148,1,4,3,0,0,1,0,0,4,0,0,31,1,0,1,2,2,1,1,0
21,2,9,0,0,0,0,1,0,0,1337,0,1,4,0,1,0,0,0,2,0,0,34,0,0,1,2,3,1,1,0
22,1,6,1,0,0,0,0,1,0,433,3,1,4,0,0,0,0,0,2,0,0,24,1,1,0,1,2,2,0,0
23,0,12,2,1,0,0,0,0,0,1228,0,2,4,0,0,0,0,0,2,1,0,24,0,0,1,1,1,1,0,0
24,1,9,2,0,0,0,1,0,0,790,2,2,4,0,0,0,0,0,3,1,0,66,0,0,1,1,1,1,0,0
25,3,27,2,1,0,0,0,0,0,2570,0,2,3,0,0,0,0,0,3,1,0,21,0,1,0,1,2,1,0,0
26,3,6,4,1,0,0,0,0,0,250,3,2,2,0,0,0,0,0,2,1,0,41,1,0,1,2,1,1,0,0
27,3,15,4,0,0,0,1,0,0,1316,2,2,2,0,0,1,0,0,2,0,0,47,0,0,1,2,1,1,0,0
28,0,18,2,0,0,0,1,0,0,1882,0,2,4,0,0,0,0,0,4,0,0,25,1,1,0,2,2,1,0,0
29,1,48,1,0,0,0,0,0,1,6416,0,4,4,0,0,0,0,0,3,0,1,59,0,1,0,1,2,1,0,0
30,2,24,4,0,0,0,0,0,1,1275,3,2,2,1,0,0,0,0,4,1,0,36,0,0,1,2,2,1,1,0
31,1,24,3,0,0,0,1,0,0,6403,0,1,1,0,1,0,0,0,2,0,0,33,0,0,1,1,2,1,0,0
32,0,24,2,0,0,0,1,0,0,1987,0,2,2,0,1,0,0,0,4,1,0,21,0,1,0,1,1,2,0,0
