sequence_number,SG,source_1,source_2,source_3,source_4,source_5,source_6,source_7,source_8,source_9,source_10,source_11,source_12,source_13,source_14,source_15,Freq,last_update_days_ago,1st_update_days_ago,Web order,Gender,Address,Kids
1800,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2326,2334,1,1,0,1
1801,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2796,2796,1,0,0,0
1802,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,470,3194,1,0,1,1
1803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,967,967,0,0,1,0
1804,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2950,2950,1,0,0,0
1805,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1658,2467,1,1,1,1
1806,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2324,2324,0,0,0,0
1807,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,945,945,0,1,0,0
1808,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,721,1484,1,0,0,1
1809,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3354,3355,1,0,0,1
1810,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2456,2576,0,1,0,1
1811,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3069,3069,0,1,1,0
1812,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1095,1095,1,0,0,0
1813,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2836,3143,1,1,0,1
1814,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2955,2955,1,1,1,1
1815,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3342,3342,0,1,0,1
1816,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,974,974,0,0,0,0
1817,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1653,1653,0,0,0,0
1818,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3276,3311,1,0,0,1
1819,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2975,2975,1,0,0,0
